 No Urut,ID,Kategori,Sub kategori,Nama Barang dan Spesifikasi,Satuan,Harga Satuan
13730,1232,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Tips for micropipet Spesifikasi: Volume 2 - 200 ul, 2 x 500 tips, yellow",Pack,1507500
13574,10426,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Rantai Gergaji Mesin? Spesifikasi: Uk. 16 inc,Buah,265200
14022,251951,Tanda Penghargaan Bidang Olahraga,Medali,Medali terbuat dari logam/logam kuningan,Buah,135135
13587,229202,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,Pisau End Mill Spesifikasi: Diameter 50 mm,Buah,3072396
13970,880,Tanaman,Tanaman Hias,"Tabebuya kuning (Tabebuia chrysantha) Spesifikasi: Tinggi 400-430 cm, dia batang20-25 cm/ Subur, Bebas dari hama dan penyakit tanaman, Kemasan dalam polybag.",Batang Pohon,3575300
13578,216353,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,"Acetylene Regulator Spesifikasi: Heavy Duty, Delivery Rate : 2-15 Psi",Buah,1408800
13798,225804,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"Micropipet adjustable 100-1000 ul Spesifikasi: 2 single-channel, Volume ( 100-1000 ?l ), Single button operation for aspiration, dispensing and tip ejection, Volume lock for secure volume setting",Unit,4640800
13919,247318,Sumber Tenaga,Charger,"Charging Station Spesifikasi: AC380Vñ15% ? Protection Grade: IP55 / IK10 ? Interface: touch screen + card access ? Charging way: Quick or slow charge automatic switch. Nozle CCS2, Include Perijinan dan SLO, Alat Terpasang.",Unit,959352700
13843,253234,Suku Cadang Alat Laboratorium,Suku Cadang Alat Laboratorium Lainnya - Suku Cadang Alat Laboratorium Lainnya,"ep Tips Micropipette Standard, Cat# 0030 000.927, volume 50 - 1000 ul, 71 mm, isi 1000 tips, ex.Eppendorf-Germany",pack,1304884
13884,222749,Suku Cadang Lainnya,Suku Cadang Lainnya - Suku Cadang Lainnya,As Hard Chrome 60 x 1600 mm Spesifikasi: 60 x 1600 mm,Unit,6278300
13507,212861,Suku Cadang Alat Angkutan,Suku Cadang Alat Angkutan Darat Bermotor,Ban Luar Spesifikasi: UK. 80/100-17,Buah,305700
13618,262749,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Lainnya - Suku Cadang Alat Bengkel Lainnya,Hole Saw Spesifikasi : TCT | 14mm,pcs,76636
13911,258784,Suku Cadang Lainnya,Suku Cadang Lainnya - Suku Cadang Lainnya,"Canon Battery Pack LP-E6P | Daya maksimum baterai 6A, Kompatibel untuk EOS R5 Mark II dan kamera Canon lain yang menggunakan baterai seri LP-E6P sebelumnya, Pengisian daya USB melalui Adaptor Daya USB PD-E2 dan PD-E1 (dijual terpisah)",Unit,2160000
13576,214722,Suku Cadang Alat Bengkel,Suku Cadang Alat Bengkel Bermesin,"Mata Pahat Breaker Spesifikasi: Flat Chisel Breaker/ Jack Hammer ; Ukuran : Panjang Min 400 mm , Material : logam",pcs,1998000
